ID,Vorname,Nachname,E-Mail,Telefon,Geburtsdatum,Geschlecht,Gruppen,Rolle,AHV-Nummer
1001,Luca,Meier,fam.meier@example.ch,079 123 45 67,14.03.2017,m,Junioren F,Mitglied,756.1234.5678.97
1002,Nina,Huber,fam.huber@example.ch,079 222 33 44,02.11.2016,w,Junioren F,Mitglied,756.2345.6789.01
1003,Timo,Frei,fam.frei@example.ch,079 333 44 55,30.07.2016,m,Junioren E,Mitglied,
1004,Jan,Widmer,fam.widmer@example.ch,079 444 55 66,21.01.2014,m,Junioren E,Mitglied,756.4567.8901.23
1005,Leon,Bruderer,fam.bruderer@example.ch,,05.06.2015,m,Junioren E,Mitglied,756.5678.9012.34
1006,Sara,Keller,fam.keller@example.ch,079 555 66 77,17.09.2013,w,Junioren D,Mitglied,756.6789.0123.45
1007,Elias,Suter,fam.suter@example.ch,079 666 77 88,05.09.2008,m,Junioren A,Mitglied,756.7890.1234.56
1008,Noah,Baumann,fam.baumann@example.ch,079 777 88 99,11.06.2007,m,Junioren A,Mitglied,756.8901.2345.67
1009,Mia,Kaiser,fam.kaiser@example.ch,079 888 99 00,30.04.2007,w,Junioren A,Mitglied,756.9012.3456.78
1010,Fabio,Steiner,fam.steiner@example.ch,,,m,Junioren D,Mitglied,
1011,Robin,Graf,fam.graf@example.ch,079 111 22 33,19.02.2012,m,"Junioren D, Junioren C",Mitglied,756.0123.4567.89
1012,Luca,Meier,fam.meier@example.ch,079 123 45 67,14.03.2017,m,Junioren F,Mitglied,756.1234.5678.97
1013,Emma,Meier,fam.meier@example.ch,079 123 45 67,08.08.2019,w,Junioren G,Mitglied,756.1122.3344.55
1014,Levin,Zimmermann,fam.zimmermann@example.ch,079 999 00 11,26.12.2018,m,Junioren G,Mitglied,756.2233.4455.66
1015,Nico,Bachmann,fam.bachmann@example.ch,079 121 21 21,03.05.2011,m,Junioren C,Mitglied,756.3344.5566.77
1016,Jonas,Ammann,fam.ammann@example.ch,079 131 31 31,14.10.2010,m,Junioren C,Mitglied,756.4455.6677.88
1017,David,Roth,fam.roth@example.ch,079 141 41 41,09.03.2009,m,Junioren B,Mitglied,756.5566.7788.99
1018,Aline,Kunz,fam.kunz@example,079 151 51 51,22.07.2014,w,Junioren D,Mitglied,756.6677.8899.00
1019,Marco,Trainer,marco.trainer@example.ch,079 161 61 61,01.01.1985,m,Trainer,Admin,
1020,Petra,Vorstand,petra.vorstand@example.ch,079 171 71 71,12.04.1979,w,Vorstand,Admin,
1021,Sven,Ohnegruppe,sven.ohnegruppe@example.ch,,18.11.2015,m,,Mitglied,
1022,Yannick,Bosshard,fam.bosshard@example.ch,079 181 81 81,27.02.2019,m,Junioren F,Mitglied,756.7788.9900.11
1023,Ella,Widmer,fam.widmer@example.ch,079 444 55 66,15.05.2017,w,Junioren F,Mitglied,756.8899.0011.22
1024,Ben,Schmid,fam.schmid@example.ch,079 191 91 91,01.09.2020,m,Junioren G,Mitglied,756.9900.1122.33
1025,Tim,Hofer,fam.hofer@example.ch,079 202 02 02,30.06.2013,m,Junioren D,Mitglied,756.0011.2233.44
